OBJECTID,point,X,Y
1228,1,114.1423186,30.39505908
1229,1,114.1423179,30.39505838
1230,1,114.1423172,30.39505768
1231,1,114.1423165,30.39505699
1232,1,114.1423157,30.39505629
1233,1,114.142315,30.39505559
1234,1,114.1423143,30.39505489
1235,1,114.1423136,30.39505419
1236,1,114.1423129,30.39505349
1237,1,114.1423122,30.3950528
1238,1,114.1423115,30.3950521
1239,1,114.1423107,30.3950514
1240,1,114.14231,30.3950507
1241,1,114.1423093,30.39505
1242,1,114.1423086,30.3950493
1243,1,114.1423079,30.3950486
1244,1,114.1423072,30.39504791
1245,1,114.1423064,30.39504721
1246,1,114.1423057,30.39504651
1247,1,114.142305,30.39504581
1248,1,114.1423043,30.39504511
1249,1,114.1423036,30.39504441
1250,1,114.1423029,30.39504372
1251,1,114.1423022,30.39504302
1252,1,114.1423014,30.39504232
1253,1,114.1423007,30.39504162
1254,1,114.1423,30.39504092
1255,1,114.1422993,30.39504022
1256,1,114.1422986,30.39503952
1257,1,114.1422979,30.39503883
1258,1,114.1422971,30.39503813
1259,1,114.1422964,30.39503743
1260,1,114.1422957,30.39503673
1261,1,114.142295,30.39503603
1262,1,114.1422943,30.39503533
1263,1,114.1422936,30.39503464
1264,1,114.1422928,30.39503394
1265,1,114.1422921,30.39503324
1266,1,114.1422914,30.39503254
1267,1,114.1422907,30.39503184
1268,1,114.14229,30.39503114
1269,1,114.1422893,30.39503045
1270,1,114.1422886,30.39502975
1271,1,114.1422878,30.39502905
1272,1,114.1422871,30.39502835
1273,1,114.1422864,30.39502765
1274,1,114.1422857,30.39502695
1275,1,114.142285,30.39502625
1276,1,114.1422843,30.39502556
1277,1,114.1422835,30.39502486
1278,1,114.1422828,30.39502416
1279,1,114.1422821,30.39502346
1280,1,114.1422814,30.39502276
1281,1,114.1422807,30.39502206
1282,1,114.14228,30.39502137
1283,1,114.1422793,30.39502067
1284,1,114.1422785,30.39501997
1285,1,114.1422778,30.39501927
1286,1,114.1422771,30.39501857
1287,1,114.1422764,30.39501787
1288,1,114.1422757,30.39501717
1289,1,114.142275,30.39501648
1290,1,114.1422742,30.39501578
1291,1,114.1422735,30.39501508
1292,1,114.1422728,30.39501438
1293,1,114.1422721,30.39501368
1294,1,114.1422714,30.39501298
1295,1,114.1422707,30.39501229
1296,1,114.1422699,30.39501159
1297,1,114.1422692,30.39501089
1298,1,114.1422685,30.39501019
1299,1,114.1422678,30.39500949
1300,1,114.1422671,30.39500879
1301,1,114.1422664,30.3950081
1302,1,114.1422657,30.3950074
1303,1,114.1422649,30.3950067
1304,1,114.1422642,30.395006
1305,1,114.1422635,30.3950053
1306,1,114.1422628,30.3950046
1307,1,114.1422621,30.3950039
1308,1,114.1422614,30.39500321
1309,1,114.1422606,30.39500251
1310,1,114.1422599,30.39500181
1311,1,114.1422592,30.39500111
1312,1,114.1422585,30.39500041
1313,1,114.1422578,30.39499971
1314,1,114.1422571,30.39499902
1315,1,114.1422563,30.39499832
1316,1,114.1422556,30.39499762
1317,1,114.1422549,30.39499692
1318,1,114.1422542,30.39499622
